"Name","ID","Level","Prep_Xanax","Prep_Overdose","War_Hits","Non_War_Hits","Hospital","Assists","War_Xanax","War_Overdose","Boosters","Cans","Refills","Activity","Respect","Respect_Lost","Score_Up","Score_Down","E_Wasted","E_Stolen"
"Daxern","1751285",26,1,FALSE,13,0,0,1,1,0,0,0,0,0.056,44.69,0,44.69,0,0,200
"DoctrHorrible","1823420",59,6,FALSE,149,0,0,7,0,0,4,0,1,4.64,818.820000000001,0,818.820000000001,0,50,25
"Petrie","1829717",59,5,FALSE,54,0,0,0,1,0,0,3,1,0.825,219.6,0,219.6,0,0,0
"Shiroe-","1896021",31,5,FALSE,95,0,1,3,1,0,3,0,1,4.435,517.87,1.85,517.87,7.38,50,75
"Assasim","2322535",39,1,FALSE,18,0,8,0,1,0,0,0,0,0.754,131.82,9.69,131.82,38.72,75,50
"wraythe","2393169",74,7,FALSE,97,1,0,1,3,1,2,0,1,2.799,389.2,0,379.89,0,0,0
"Qwerty6591","2418981",58,4,FALSE,104,2,5,3,3,0,5,1,2,2.64,436.36,4.06,424.98,0,0,0
"EnemyArmour","2425645",62,7,TRUE,19,0,0,0,3,0,0,5,0,1.391,87.92,0,87.92,0,0,0
"RainMaker_","2467147",35,0,FALSE,3,0,5,0,0,0,0,0,0,0.285,20.87,5.94,20.87,23.74,25,0
"Pestacyde","2533627",52,2,FALSE,40,0,1,0,1,0,0,0,0,0.524,204.52,1.43,204.52,5.7,0,25
"Quakepk","2544181",60,3,FALSE,26,0,0,1,0,0,0,0,0,0.119,100.55,0,100.55,0,0,0
"feelix","2547000",65,5,FALSE,79,0,0,3,3,0,0,0,2,2.156,287.62,0,287.62,0,0,0
"Yoda1987","2548981",51,0,FALSE,15,0,0,1,1,0,0,0,0,0.133,53.15,0,53.15,0,0,0
"mmmuuu","2549322",58,5,FALSE,28,0,0,0,4,0,0,0,0,1.526,101.59,0,101.59,0,50,0
"Lahkiin","2624264",43,3,FALSE,24,0,6,0,0,0,0,0,0,0.427,99.54,7.76,99.54,30.92,0,25
"ARandomCitizen","2640469",20,8,FALSE,74,0,4,1,2,0,2,1,1,4.933,343.82,6.67,343.82,26.66,50,100
"Trisss","2660225",40,0,FALSE,5,0,7,0,0,0,0,0,0,0.206,21.66,9.99,21.66,39.86,0,50
"itikrock","2663714",30,0,FALSE,9,0,3,0,0,0,0,0,0,0.219,56.15,6.97,56.15,7.87,0,125
"VincentLago","2670017",48,3,FALSE,46,0,3,2,0,0,0,0,0,0.26,292.91,2.73,292.91,10.91,50,25
"asksachinsaini","2676012",69,7,FALSE,80,0,1,4,6,0,0,0,1,3.103,320.64,0.78,320.64,0,0,0
"Damn","2693850",69,8,FALSE,86,0,0,1,6,0,0,0,2,1.569,313.85,0,313.85,0,0,0
"Epiwssa","2746294",50,6,FALSE,78,0,0,6,6,0,1,1,2,5.441,384.38,0,384.38,0,25,0
"Mr_Midnight_","2775530",25,3,FALSE,61,0,4,1,1,0,1,0,1,4.772,411.42,6.19,411.42,14.72,75,250
"Danger-R_U_N","2862154",34,0,FALSE,24,0,7,0,0,0,0,0,1,0.73,129.36,6.16,129.36,23.41,25,50
"BliNk1","2870943",21,0,FALSE,5,0,23,0,0,0,0,0,0,0.146,26.88,37.54,26.88,120.13,0,150
"Mallapuff","2874479",18,0,FALSE,6,0,23,0,0,0,0,0,1,0.067,38.56,24.41,38.56,87.49,25,75
"Shalhevet","2881226",40,3,FALSE,36,0,6,0,0,0,0,0,0,0.918,204.94,9.2,204.94,36.76,0,100
"yourguyforstuff","2907417",22,2,FALSE,5,0,24,0,0,0,0,0,0,0.206,23.09,22.53,23.09,90.16,0,25
"skaloc","2991441",40,5,FALSE,56,0,4,6,1,0,0,0,1,9.72,350.16,7.77,350.16,31.01,50,0
"Geldimir","3249184",21,4,FALSE,42,0,16,0,0,0,0,0,1,1.967,287.07,17.63,287.07,59.3,400,75
"Axelent","2550458",26,0,FALSE,0,0,3,0,0,0,0,0,0,0.833,0,5.3,0,21.16,0,225
"SamanthaGreene","2570811",15,3,FALSE,0,0,1,0,0,0,0,0,0,0.327,0,0.81,0,0,0,450
"SpankyPrime","1758738",30,0,FALSE,0,0,9,0,0,0,0,0,0,0.067,0,12.15,0,48.57,0,100
"n0wae","2571578",27,1,TRUE,0,0,0,0,0,0,0,0,0,0.049,0,0,0,0,0,0
"Kawairashii","2752280",22,0,FALSE,0,0,22,0,0,0,0,0,0,0,0,19.07,0,76.42,0,25
"I0VT","3040581",12,0,FALSE,0,0,30,0,0,0,0,0,0,0,0,38.8,0,145.17,0,175
"DogeDoesYT","2236607",18,0,FALSE,0,0,20,0,0,0,0,0,0,0,0,24.88,0,79.37,0,125
"WDDWM","3075578",19,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DamianItami","2550909",22,0,FALSE,0,0,17,0,0,0,0,0,3,0.033,0,24.77,0,69.06,0,175
"Sir_Ej","1273798",37,0,FALSE,0,0,14,0,0,0,0,0,1,0.017,0,12.48,0,49.85,0,25
"Geckobushkid","2603576",20,0,FALSE,0,0,22,0,0,0,0,0,0,0.241,0,22.13,0,78.47,0,50
"Grizzlah","1429672",91,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Deathknight50","2660488",16,0,FALSE,0,0,30,0,0,0,0,0,0,0,0,31.82,0,107.2,0,100
"Catcrazylady88","3106971",15,0,FALSE,0,0,32,0,0,0,0,0,0,0,0,29.65,0,118.37,0,75
"cobbled","3236692",3,0,FALSE,0,0,34,0,0,0,0,0,0,0,0,19.39,0,77.36,0,0
"Jomangork","3249180",18,4,FALSE,0,0,29,0,0,0,0,0,0,0,0,37.1,0,118.29,0,50
"Vuxx","3249208",3,0,FALSE,0,0,34,0,0,0,0,0,0,0,0,23.63,0,84.12,0,0
"UncleReenu","3212300",16,0,FALSE,0,0,16,0,0,0,0,0,0,0.067,0,13.77,0,54.91,0,0
"jokoer","3197727",6,0,FALSE,0,0,27,0,0,0,0,0,0,0.329,0,18.11,0,72.41,0,25
